report_id,page,ordinal,publication_date,title,company,ticker,exchange,symbol,pdf_filename,pdf_url,report_current_price,bear_target,base_target,bull_target,target_price,target_currency,markdown_filename
1f2a8ed4179351b4,1,11,2025-12-01,"Equity Research, Iradimed Corporation",Iradimed Corporation,IRMD,NASDAQ,IRMD,2025-12-01_equity-research-iradimed-corporation.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_5팀_Iradimed_Corporation.pdf,,,146.0,,146.0,USD,2025-12-01_equity-research-iradimed-corporation.md
72621dfbf2b97f64,1,12,2025-12-01,"Equity Research, Sensient Technologies Corp",Sensient Technologies Corp,SXT,NYSE,SXT,2025-12-01_equity-research-sensient-technologies-corp.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_3주차_수정보고서_4팀_Sensient_Technologies_Corp.pdf,,,238.0,,238.0,USD,2025-12-01_equity-research-sensient-technologies-corp.md
b08243b6f71f6c84,1,6,2025-12-15,"Equity Research, S-oil",S-oil,010950,KRX,010950.KS,2025-12-15_equity-research-s-oil-4.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_5팀_S_Oil.pdf,80500.0,,128400.0,,128400.0,KRW,2025-12-15_equity-research-s-oil-4.md
aa141895f6c0df12,1,8,2025-12-15,"Equity Research, 예스티",예스티,122640,KRX,122640.KS,2025-12-15_equity-research-예스티-2.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_3팀_예스티.pdf,19000.0,,40500.0,,40500.0,KRW,2025-12-15_equity-research-예스티-2.md
edf78c928cc5dfa6,1,9,2025-12-15,"Equity Research, 파마리서치",파마리서치,214450,KRX,214450.KQ,2025-12-15_equity-research-파마리서치-2.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_2팀_파마리서치.pdf,401500.0,,805000.0,,805000.0,KRW,2025-12-15_equity-research-파마리서치-2.md
939c5f34cad1a535,1,7,2025-12-15,"Equity Research, 알지노믹스",알지노믹스,476830,KRX,476830.KQ,2025-12-15_equity-research-알지노믹스.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_4팀_알지노믹스.pdf,,,105000.0,174800.0,105000.0,KRW,2025-12-15_equity-research-알지노믹스.md
50e30989614ca4df,1,10,2025-12-15,"Equity Research, Lumentum Holdings Inc",Lumentum Holdings Inc,LITE,NASDAQ,LITE,2025-12-15_equity-research-lumentum-holdings-inc.pdf,http://snusmic.com/wp-content/uploads/2025/12/25_2_4주차_수정보고서_1팀_Lumentum_Holdings_Inc.pdf,327.85,,498.63,,498.63,USD,2025-12-15_equity-research-lumentum-holdings-inc.md
066412c877ec56f4,1,5,2026-04-16,"Equity Research, 비츠로셀",비츠로셀,082920,KRX,082920.KS,2026-04-16_equity-research-비츠로셀-3.pdf,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_1팀_비츠로셀.pdf,,,78450.0,,78450.0,KRW,2026-04-16_equity-research-비츠로셀-3.md
136630000ff00d6a,1,1,2026-04-16,"Equity Research, SK오션플랜트",SK오션플랜트,100090,KRX,100090.KS,2026-04-16_equity-research-sk오션플랜트.pdf,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_5팀_SK오션플랜트.pdf,23300.0,,41600.0,,41600.0,KRW,2026-04-16_equity-research-sk오션플랜트.md
28a7d7cc083f93ac,1,2,2026-04-16,"Equity Research, 세아제강",세아제강,306200,KRX,306200.KS,2026-04-16_equity-research-세아제강.pdf,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_4팀_세아제강.pdf,,,286700.0,,286700.0,KRW,2026-04-16_equity-research-세아제강.md
29179371d1d1f847,1,4,2026-04-16,"Equity Research, Camtek",Camtek,CAMT,NASDAQ,CAMT,2026-04-16_equity-research-camteck.pdf,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_2팀_Camtek.pdf,176.51,,238.67,,238.67,USD,2026-04-16_equity-research-camteck.md
767c2e90a710a1d1,1,3,2026-04-16,"Equity Research, Golar LNG",Golar LNG,GLNG,NASDAQ,GLNG,2026-04-16_equity-research-golar-lng.pdf,http://snusmic.com/wp-content/uploads/2026/04/26-1_1주차_수정보고서_3팀_Golar_LNG_Limited.pdf,,,97.8,,97.8,USD,2026-04-16_equity-research-golar-lng.md
